O_ID,D_ID,OD_Number
10000000,10000000,133
10000000,10000001,2
10000000,10000004,6
10000000,10000006,8
10000000,10000007,3
10000000,10000008,12
10000000,10000010,6
10000000,10000011,36
10000000,10000012,3
10000000,10000013,5
10000000,10000014,11
10000000,10000015,12
10000000,10000016,2
10000000,10000017,4
10000000,10000018,17
10000000,10000019,2
10000000,10000020,25
10000000,10000021,14
10000000,10000022,15
10000000,10000023,8
10000000,10000024,17
10000000,10000025,2
10000000,10000026,24
10000000,10000027,4
10000000,10000028,12
10000000,10000029,9
10000000,10000030,10
10000000,10000031,10
10000000,10000032,4
10000000,10000033,35
10000000,10000034,2
10000000,10000035,3
10000000,10000037,10
10000000,10000039,1
10000000,10000040,1
10000000,10000042,4
10000000,10000043,7
10000000,10000044,2
10000000,10000045,3
10000000,10000046,3
10000000,10000048,47
10000000,10000050,9
10000000,10000051,22
10000000,10000052,15
10000000,10000053,14
10000000,10000054,5
10000000,10000055,2
10000000,10000056,1
10000000,10000057,4
10000000,10000058,2
10000000,10000059,3
10000000,10000060,4
10000000,10000062,2
10000000,10000065,4
10000000,10000067,9
10000000,10000068,4
10000000,10000069,3
10000000,10000071,3
10000000,10000072,4
10000000,10000073,12
10000000,10000074,6
10000000,10000075,7
10000000,10000076,17
10000000,10000077,26
10000000,10000078,1
10000000,10000079,207
10000000,10000080,18
10000000,10000081,14
10000000,10000082,1
10000000,10000084,2
10000000,10000085,1
10000000,10000086,5
10000000,10000087,2
10000000,10000088,3
10000000,10000089,1
10000000,10000090,2
10000000,10000091,5
10000000,10000093,9
10000000,10000094,2
10000000,10000095,11
10000000,10000096,29
10000000,10000097,7
10000000,10000098,1
10000000,10000099,3
10000000,10000100,10
10000000,10000101,12
10000000,10000103,2
10000000,10000104,6
10000000,10000105,8
10000000,10000106,7
10000000,10000107,8
10000000,10000108,4
10000000,10000109,3
10000000,10000110,19
10000000,10000111,2
10000000,10000113,9
10000000,10000114,5
10000000,10000115,11
10000000,10000117,3
10000000,10000118,2
10000000,10000119,4
10000000,10000121,3
10000000,10000122,1
10000000,10000125,12
10000000,10000126,5
10000000,10000127,7
10000000,10000129,10
10000000,10000130,7
10000000,10000131,2
10000000,10000133,8
10000000,10000134,13
10000000,10000135,1
10000000,10000136,5
10000000,10000137,1
10000000,10000138,1
10000000,10000139,26
10000000,10000140,34
10000000,10000141,22
10000000,10000143,45
10000000,10000144,235
10000000,10000145,31
10000000,10000146,4
10000000,10000147,9
10000000,10000148,10
10000000,10000149,10
10000000,10000150,17
10000000,10000151,138
10000000,10000152,16
10000000,10000153,7
10000000,10000154,170
10000000,10000155,28
10000000,10000156,3
10000000,10000157,4
10000000,10000158,38
10000000,10000159,3
10000000,10000161,32
10000000,10000162,4
10000000,10000163,5
10000000,10000164,1
10000000,10000165,13
10000000,10000166,4
10000000,10000167,1
10000000,10000168,1
10000000,10000169,27
10000000,10000170,2
10000000,10000172,2
10000000,10000174,7
10000000,10000176,1
10000000,10000178,20
10000000,10000179,5
10000000,10000180,9
10000000,10000181,12
10000000,10000182,2
10000000,10000183,2
10000000,10000184,1
10000000,10000185,11
10000000,10000186,2
10000000,10000187,7
10000000,10000189,5
10000000,10000191,5
10000000,10000192,3
10000000,10000193,6
10000001,10000001,41
10000001,10000011,2
10000001,10000012,3
10000001,10000013,2
10000001,10000014,3
10000001,10000017,3
10000001,10000018,14
10000001,10000021,1
10000001,10000024,2
10000001,10000026,2
10000001,10000027,1
10000001,10000029,2
