"ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
1,68.4000,,68.4000,2.15519,,2.15519,0.0103636,,0.0103636,221.0931,,221.0931,2.45692,,2.45692,89.9879,,2.15519,,2.15519
2,2104.1566,,2104.1566,0.235936,,0.235936,0.318812,,0.318812,699.9582,,699.9582,8.27409,,8.27409,84.5964,,0.235936,,0.235936
3,549.0655,,549.0655,0.488676,,0.488676,0.39219,,0.39219,163.6957,,163.6957,4.47192,,4.47192,36.6053,,0.488676,,0.488676
4,723.6655,,723.6655,0.108195,,0.108195,0.516904,,0.516904,45.2935,,45.2935,1.30495,,1.30495,34.7089,,0.108195,,0.108195
5,723.6655,,723.6655,0.239854,,0.239854,0.516904,,0.516904,100.4093,,100.4093,2.8929,,2.8929,34.7089,,0.239854,,0.239854
6,42.0000,0.0000,42.0000,0.120981,0.120871,0.120981,0.03,0.0000,0.03,3.3844,0.0000,3.3844,0.0846868,0.0000,0.0846868,39.9637,40.0000,0.120981,0.120871,0.120981
8,681.6655,,681.6655,0.343215,,0.343215,0.486904,,0.486904,137.1920,,137.1920,3.8993,,3.8993,35.1837,,0.343215,,0.343215
9,681.6655,,681.6655,0.130463,,0.130463,0.486904,,0.486904,52.1495,,52.1495,1.4822,,1.4822,35.1837,,0.130463,,0.130463
10,681.6655,,681.6655,0.13538,,0.13538,0.486904,,0.486904,54.1147,,54.1147,1.53806,,1.53806,35.1837,,0.13538,,0.13538
11,710.4741,0.0000,710.4741,0.0150314,0.0130995,0.0150314,0.507482,0.0000,0.507482,6.20457,0.0000,6.20457,0.17799,0.0000,0.17799,34.8591,40.0000,0.0150314,0.0130995,0.0150314
13,493.9077,710.4741,1204.3818,0.207395,0.221039,0.221039,0.352791,0.507482,0.507482,63.4276,91.2391,154.6667,1.70723,2.61737,4.3246,37.1523,34.8591,0.207395,0.221039,0.221039
15,94.7578,,94.7578,0.123558,,0.123558,0.0676842,,0.0676842,7.77488,,7.77488,0.195135,,0.195135,39.8436,,0.123558,,0.123558
16,100.7578,,100.7578,0.0209941,,0.0209941,0.0719699,,0.0719699,1.40406,,1.40406,0.0352554,,0.0352554,39.8254,,0.0209941,,0.0209941
17,0.0000,,0.0000,0.030738,,0.030738,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,40.0000,,0.030738,,0.030738
18,802.8655,,802.8655,0.0845254,,0.0845254,0.573475,,0.573475,38.2180,,38.2180,1.13104,,1.13104,33.7901,,0.0845254,,0.0845254
