,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,140,141,6600,0.13835199999999997,0.5,1.8,1,1
1,505,506,1400,0.115602,0.5,1.8,1,2
2,659,660,1400,4.755065999999999,0.5,1.8,1,3
3,673,674,1400,0.31188,0.5,1.8,1,4
4,674,673,1400,0.31188,0.5,1.8,1,5
5,992,993,4000,0.156856,0.5,1.8,1,6
6,993,992,4000,0.156856,0.5,1.8,1,7
7,995,996,1400,0.136494,0.5,1.8,1,8
8,996,995,1400,0.136494,0.5,1.8,1,9
9,1008,1009,1400,0.34134749999999997,0.5,1.8,1,10
10,1367,1369,4000,0.348785,0.5,1.8,1,11
11,1802,1808,1400,0.310809,0.5,1.8,1,12
12,1940,1941,4000,0.19115,0.5,1.8,1,13
13,1800,2208,1400,0.29870700000000006,0.5,1.8,1,14
14,2208,1800,1400,0.29870700000000006,0.5,1.8,1,15
15,2471,2470,6600,0.138362,0.5,1.8,1,16
16,2556,983,1400,0.137877,0.5,1.8,1,17
17,983,2556,1400,0.137877,0.5,1.8,1,18
18,419,2559,1400,0.09919050000000001,0.5,1.8,1,19
19,2559,419,1400,0.09919050000000001,0.5,1.8,1,20
20,2065,2562,1400,0.072468,0.5,1.8,1,21
21,2061,2064,4000,0.101944,0.5,1.8,1,22
22,2732,2738,1400,0.3109815,0.5,1.8,1,23
23,2865,2866,1400,0.133911,0.5,1.8,1,24
24,513,2889,1400,0.11425350000000001,0.5,1.8,1,25
25,1347,3006,6600,0.5826960000000001,0.5,1.8,1,26
26,1347,3007,6600,1.120476,0.5,1.8,1,27
27,3092,2748,4000,0.358531,0.5,1.8,1,28
28,364,366,1400,0.0851355,0.5,1.8,1,29
29,366,364,1400,0.0851355,0.5,1.8,1,30
30,3190,3191,4000,0.308809,0.5,1.8,1,31
31,2369,3525,6600,0.470962,0.5,1.8,1,32
32,3343,2741,1400,0.0789045,0.5,1.8,1,33
33,1402,3888,1400,0.2455125,0.5,1.8,1,34
34,3888,1402,1400,0.2455125,0.5,1.8,1,35
35,3684,957,4000,0.101514,0.5,1.8,1,36
36,957,3684,4000,0.101514,0.5,1.8,1,37
37,1013,3986,1400,0.12354749999999999,0.5,1.8,1,38
38,3986,1013,1400,0.12354749999999999,0.5,1.8,1,39
39,2562,2065,1400,0.072468,0.5,1.8,1,40
40,1365,4372,4000,0.034446,0.5,1.8,1,41
41,4378,2563,6600,0.10769799999999999,0.5,1.8,1,42
42,1034,4389,1400,0.13375499999999999,0.5,1.8,1,43
43,4454,3550,6600,1.1324673333333333,0.5,1.8,1,44
44,3547,745,6600,0.6415493333333333,0.5,1.8,1,45
45,4495,4375,4000,0.139852,0.5,1.8,1,46
46,4495,1943,4000,0.163686,0.5,1.8,1,47
47,4372,4516,6600,0.10719666666666666,0.5,1.8,1,48
48,3501,4374,6600,0.29646933333333336,0.5,1.8,1,49
49,3562,2563,4000,0.213041,0.5,1.8,1,50
50,3562,4516,6600,0.11821933333333332,0.5,1.8,1,51
51,2954,4537,4000,0.316003,0.5,1.8,1,52
52,3897,4586,1400,0.23684100000000002,0.5,1.8,1,53
53,4473,4565,1400,0.28853249999999997,0.5,1.8,1,54
54,4565,4473,1400,0.28853249999999997,0.5,1.8,1,55
55,3291,737,1400,4.8152985,0.5,1.8,1,56
56,1009,4590,1400,0.2876505,0.5,1.8,1,57
57,4718,4719,1400,0.11720699999999999,0.5,1.8,1,58
58,4719,4718,1400,0.11720699999999999,0.5,1.8,1,59
59,365,10000083,99999,3.3747599999999998,0.5,1.8,1,60
60,10000083,365,99999,3.3747599999999998,0.5,1.8,1,61
61,366,10000083,99999,3.2487,0.5,1.8,1,62
62,10000083,366,99999,3.2487,0.5,1.8,1,63
63,367,10000083,99999,4.7674319999999994,0.5,1.8,1,64
64,10000083,367,99999,4.7674319999999994,0.5,1.8,1,65
65,2059,10000083,99999,3.614376,0.5,1.8,1,66
66,10000083,2059,99999,3.614376,0.5,1.8,1,67
67,2560,10000083,99999,3.4524359999999996,0.5,1.8,1,68
68,10000083,2560,99999,3.4524359999999996,0.5,1.8,1,69
69,3683,10000083,99999,4.079592,0.5,1.8,1,70
70,10000083,3683,99999,4.079592,0.5,1.8,1,71
71,3684,10000083,99999,3.980028,0.5,1.8,1,72
72,10000083,3684,99999,3.980028,0.5,1.8,1,73
