O_ID,D_ID,OD_Number
10000000,10000000,191
10000000,10000001,21
10000000,10000003,6
10000000,10000004,3
10000000,10000006,1
10000000,10000009,5
10000000,10000010,2
10000000,10000011,4
10000000,10000018,2
10000000,10000023,1
10000000,10000024,11
10000000,10000025,1
10000000,10000026,4
10000000,10000027,1
10000000,10000029,5
10000000,10000030,5
10000000,10000031,1
10000000,10000032,13
10000000,10000033,3
10000000,10000035,1
10000000,10000036,5
10000000,10000037,2
10000000,10000038,4
10000000,10000039,5
10000000,10000040,13
10000000,10000041,7
10000000,10000042,4
10000000,10000043,11
10000000,10000044,2
10000000,10000045,16
10000000,10000046,3
10000000,10000047,4
10000000,10000048,6
10000000,10000049,167
10000000,10000050,72
10000000,10000051,17
10000000,10000052,16
10000000,10000053,12
10000000,10000054,28
10000000,10000055,3
10000000,10000056,30
10000000,10000059,2
10000000,10000062,5
10000000,10000068,1
10000000,10000069,2
10000000,10000070,1
10000000,10000072,1
10000000,10000073,1
10000000,10000076,1
10000000,10000077,1
10000000,10000078,71
10000000,10000079,2
10000000,10000080,5
10000000,10000081,1
10000000,10000086,4
10000000,10000087,15
10000000,10000088,5
10000000,10000089,6
10000000,10000090,4
10000000,10000096,1
10000000,10000097,40
10000000,10000098,46
10000000,10000100,4
10000000,10000101,29
10000000,10000102,31
10000000,10000103,9
10000000,10000104,1
10000000,10000106,1
10000000,10000107,1
10000000,10000108,1
10000000,10000109,6
10000000,10000110,9
10000000,10000112,6
10000000,10000113,2
10000000,10000114,4
10000000,10000115,2
10000000,10000116,36
10000000,10000117,1
10000000,10000118,4
10000000,10000120,1
10000000,10000121,2
10000000,10000125,3
10000000,10000126,8
10000000,10000127,10
10000000,10000128,50
10000000,10000129,1
10000000,10000130,2
10000000,10000131,14
10000000,10000132,1
10000000,10000133,1
10000000,10000134,6
10000000,10000136,4
10000000,10000138,2
10000001,10000000,78
10000001,10000001,61
10000001,10000002,2
10000001,10000003,4
10000001,10000004,1
10000001,10000005,1
10000001,10000006,3
10000001,10000009,3
10000001,10000010,1
10000001,10000011,1
10000001,10000012,2
10000001,10000013,3
10000001,10000015,1
10000001,10000020,4
10000001,10000024,3
10000001,10000025,1
10000001,10000026,6
10000001,10000028,1
10000001,10000029,1
10000001,10000030,3
10000001,10000032,7
10000001,10000033,3
10000001,10000034,2
10000001,10000036,1
10000001,10000037,7
10000001,10000039,2
10000001,10000040,4
10000001,10000041,4
10000001,10000042,4
10000001,10000043,3
10000001,10000045,4
10000001,10000047,3
10000001,10000048,2
10000001,10000049,56
10000001,10000050,21
10000001,10000051,12
10000001,10000052,8
10000001,10000053,8
10000001,10000054,23
10000001,10000055,1
10000001,10000056,16
10000001,10000057,1
10000001,10000062,1
10000001,10000063,1
10000001,10000068,1
10000001,10000070,1
10000001,10000072,1
10000001,10000073,1
10000001,10000074,3
10000001,10000075,1
10000001,10000076,1
10000001,10000077,1
10000001,10000078,27
10000001,10000081,3
10000001,10000084,2
10000001,10000085,1
10000001,10000086,3
10000001,10000087,5
10000001,10000089,4
10000001,10000090,3
10000001,10000092,2
10000001,10000096,1
10000001,10000097,11
10000001,10000098,22
10000001,10000100,1
10000001,10000101,12
10000001,10000102,12
10000001,10000103,5
10000001,10000106,11
10000001,10000107,1
10000001,10000108,1
10000001,10000109,1
10000001,10000110,1
10000001,10000112,5
10000001,10000113,2
10000001,10000114,4
10000001,10000115,2
10000001,10000116,12
10000001,10000117,2
10000001,10000119,8
10000001,10000120,1
10000001,10000121,1
10000001,10000124,4
10000001,10000125,1
10000001,10000126,3
10000001,10000127,5
10000001,10000128,16
10000001,10000129,3
10000001,10000130,1
10000001,10000131,12
10000001,10000132,3
10000001,10000134,2
10000001,10000136,1
10000001,10000137,1
10000001,10000138,3
10000002,10000000,54
10000002,10000001,17
10000002,10000002,29
10000002,10000003,5
10000002,10000004,4
10000002,10000005,2
10000002,10000006,2
10000002,10000009,4
10000002,10000011,1
10000002,10000016,1
10000002,10000019,1
10000002,10000022,1
10000002,10000026,1
10000002,10000027,2
10000002,10000028,2
10000002,10000029,3
10000002,10000032,6
10000002,10000033,3
10000002,10000035,1
10000002,10000036,10
10000002,10000037,3
10000002,10000038,2
10000002,10000039,1
10000002,10000040,11
10000002,10000041,2
10000002,10000042,11
10000002,10000043,1
10000002,10000045,10
10000002,10000046,2
10000002,10000047,2
10000002,10000048,4
10000002,10000049,98
10000002,10000050,54
10000002,10000051,12
10000002,10000052,14
10000002,10000053,11
10000002,10000054,16
10000002,10000055,4
10000002,10000056,4
10000002,10000057,4
10000002,10000058,2
10000002,10000059,6
10000002,10000060,11
10000002,10000062,38
10000002,10000063,5
10000002,10000064,1
10000002,10000065,3
10000002,10000066,1
10000002,10000067,2
10000002,10000068,21
10000002,10000069,3
10000002,10000070,3
10000002,10000072,21
10000002,10000073,5
10000002,10000074,7
10000002,10000076,8
10000002,10000077,8
10000002,10000078,72
10000002,10000079,12
10000002,10000080,11
10000002,10000081,15
10000002,10000083,2
10000002,10000084,4
10000002,10000085,6
10000002,10000086,1
10000002,10000087,23
10000002,10000088,4
10000002,10000089,1
10000002,10000090,20
10000002,10000092,2
10000002,10000093,3
10000002,10000094,10
10000002,10000095,3
10000002,10000096,1
10000002,10000097,27
10000002,10000098,41
10000002,10000100,4
10000002,10000101,12
10000002,10000102,14
10000002,10000103,32
10000002,10000104,3
10000002,10000106,9
10000002,10000107,5
10000002,10000108,3
10000002,10000109,15
10000002,10000110,10
10000002,10000111,1
10000002,10000112,7
10000002,10000113,5
10000002,10000114,14
10000002,10000115,4
10000002,10000116,80
10000002,10000117,2
10000002,10000118,6
10000002,10000119,3
10000002,10000121,7
10000002,10000122,2
10000002,10000123,5
10000002,10000124,2
10000002,10000125,1
10000002,10000127,20
10000002,10000128,45
10000002,10000129,1
10000002,10000130,3
10000002,10000131,5
10000002,10000132,1
10000002,10000133,4
10000002,10000134,2
10000002,10000136,3
10000002,10000137,1
10000002,10000138,4
10000003,10000000,136
10000003,10000001,61
10000003,10000002,1
10000003,10000003,82
10000003,10000004,15
10000003,10000005,2
10000003,10000006,2
10000003,10000008,1
10000003,10000009,8
10000003,10000010,9
10000003,10000011,6
10000003,10000012,2
10000003,10000013,1
10000003,10000016,3
10000003,10000020,2
10000003,10000022,2
10000003,10000023,1
10000003,10000024,6
10000003,10000027,1
10000003,10000028,11
10000003,10000029,5
10000003,10000030,2
10000003,10000031,1
10000003,10000032,6
10000003,10000033,6
10000003,10000034,1
10000003,10000036,8
10000003,10000037,21
10000003,10000038,4
10000003,10000039,2
10000003,10000040,15
10000003,10000041,6
10000003,10000042,6
10000003,10000043,1
10000003,10000044,1
10000003,10000045,3
10000003,10000046,6
10000003,10000047,3
10000003,10000048,10
10000003,10000049,108
10000003,10000050,57
10000003,10000051,12
10000003,10000052,14
10000003,10000053,5
10000003,10000054,11
10000003,10000055,3
10000003,10000056,15
10000003,10000057,2
10000003,10000061,3
10000003,10000062,7
10000003,10000068,3
10000003,10000071,2
10000003,10000072,4
10000003,10000076,3
10000003,10000078,60
10000003,10000080,3
10000003,10000081,2
10000003,10000084,3
10000003,10000086,3
10000003,10000087,19
10000003,10000088,4
10000003,10000089,2
10000003,10000090,5
10000003,10000093,4
10000003,10000094,1
10000003,10000097,27
10000003,10000098,20
10000003,10000099,2
10000003,10000100,2
10000003,10000101,15
10000003,10000102,19
10000003,10000103,1
10000003,10000105,1
10000003,10000106,4
10000003,10000108,1
10000003,10000109,5
10000003,10000110,5
10000003,10000111,2
10000003,10000112,11
10000003,10000113,4
10000003,10000114,4
10000003,10000115,1
10000003,10000116,26
10000003,10000117,5
10000003,10000118,1
10000003,10000120,1
10000003,10000121,1
10000003,10000123,2
10000003,10000125,4
10000003,10000126,2
10000003,10000127,6
10000003,10000128,47
10000003,10000129,2
10000003,10000130,3
10000003,10000131,17
10000003,10000133,2
10000003,10000134,1
10000003,10000135,1
10000003,10000138,1
10000004,10000000,183
10000004,10000001,54
10000004,10000003,40
10000004,10000004,31
10000004,10000005,1
10000004,10000006,5
10000004,10000007,1
10000004,10000009,7
10000004,10000010,13
10000004,10000011,9
10000004,10000012,1
10000004,10000013,2
10000004,10000014,3
10000004,10000016,13
10000004,10000017,1
10000004,10000018,6
10000004,10000019,2
10000004,10000020,1
10000004,10000022,3
10000004,10000023,5
10000004,10000024,12
10000004,10000026,3
10000004,10000027,10
10000004,10000028,6
10000004,10000029,7
10000004,10000030,18
10000004,10000031,2
10000004,10000032,8
10000004,10000033,12
10000004,10000034,10
10000004,10000035,1
10000004,10000036,10
10000004,10000037,36
10000004,10000039,12
10000004,10000040,12
10000004,10000041,11
10000004,10000042,37
10000004,10000043,2
10000004,10000045,10
10000004,10000046,21
10000004,10000047,4
10000004,10000048,4
10000004,10000049,206
10000004,10000050,108
10000004,10000051,31
10000004,10000052,34
10000004,10000053,17
10000004,10000054,25
10000004,10000055,1
10000004,10000056,29
10000004,10000060,4
10000004,10000061,1
10000004,10000062,12
10000004,10000063,1
10000004,10000067,2
10000004,10000068,7
10000004,10000069,1
10000004,10000072,2
10000004,10000074,2
10000004,10000075,5
10000004,10000076,4
10000004,10000078,153
10000004,10000079,2
10000004,10000080,3
10000004,10000081,12
10000004,10000082,1
10000004,10000084,1
10000004,10000085,3
10000004,10000087,18
10000004,10000088,10
10000004,10000089,2
10000004,10000090,21
10000004,10000093,1
10000004,10000094,3
10000004,10000095,3
10000004,10000096,4
10000004,10000097,71
10000004,10000098,78
10000004,10000099,3
10000004,10000100,11
10000004,10000101,35
10000004,10000102,20
10000004,10000103,9
10000004,10000104,1
10000004,10000106,7
10000004,10000107,1
10000004,10000108,13
10000004,10000109,14
10000004,10000110,20
10000004,10000111,6
10000004,10000112,11
10000004,10000113,2
10000004,10000114,20
10000004,10000115,3
10000004,10000116,49
10000004,10000117,4
10000004,10000118,12
10000004,10000119,1
10000004,10000120,1
10000004,10000121,2
10000004,10000123,1
10000004,10000124,1
10000004,10000125,2
10000004,10000126,1
10000004,10000127,22
10000004,10000128,144
10000004,10000129,3
10000004,10000130,9
10000004,10000131,36
10000004,10000132,4
10000004,10000133,3
10000004,10000134,7
10000004,10000137,2
10000004,10000138,1
10000005,10000000,172
10000005,10000001,57
10000005,10000003,15
10000005,10000004,4
10000005,10000005,17
10000005,10000006,7
10000005,10000007,1
10000005,10000009,17
10000005,10000010,3
10000005,10000011,13
10000005,10000012,14
10000005,10000014,8
10000005,10000015,11
10000005,10000016,1
10000005,10000017,1
10000005,10000018,11
10000005,10000019,1
10000005,10000020,7
10000005,10000022,2
10000005,10000024,41
