"ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
1,1830.9228,,1830.9228,0.369696,,0.369696,0.277413,,0.277413,1002.4870,,1002.4870,11.2814,,11.2814,88.8617,,0.369696,,0.369696
2,2460.4407,,2460.4407,0.473457,,0.473457,0.372794,,0.372794,1694.6901,,1694.6901,19.4152,,19.4152,87.2867,,0.473457,,0.473457
3,0.0000,,0.0000,0.238107,,0.238107,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,90.0000,,0.238107,,0.238107
4,425.9617,,425.9617,0.0273124,,0.0273124,0.10649,,0.10649,12.5944,,12.5944,0.193901,,0.193901,64.9529,,0.0273124,,0.0273124
5,66.6000,18.0000,84.6000,0.127234,0.127226,0.127234,0.0475714,0.0128571,0.0475714,6.35491,1.71754,8.07245,0.141229,0.0381677,0.179397,44.9971,44.9999,0.127234,0.127226,0.127234
7,60.6000,102.6000,163.2000,0.107635,0.107655,0.107655,0.0432857,0.0732857,0.0732857,4.89175,8.28208,13.1738,0.108711,0.18409,0.292801,44.9978,44.9894,0.107635,0.107655,0.107655
9,102.6000,60.6000,163.2000,0.0669051,0.0668926,0.0669051,0.0732857,0.0432857,0.0732857,5.14713,3.04012,8.18725,0.114408,0.0675615,0.181969,44.9894,44.9978,0.0669051,0.0668926,0.0669051
11,902.2158,383.7412,1285.9570,0.0267249,0.0400274,0.0400274,0.136699,0.0387617,0.136699,36.1121,15.3596,51.4717,0.40186,0.256003,0.657863,89.8623,59.9979,0.0267249,0.0400274,0.0400274
13,609.4063,,609.4063,0.0736467,,0.0736467,0.152352,,0.152352,48.5179,,48.5179,0.748013,,0.748013,64.8624,,0.0736467,,0.0736467
14,174.4799,162.6937,337.1736,0.268545,0.268486,0.268545,0.124628,0.11621,0.124628,35.1010,32.7299,67.8309,0.780928,0.728016,1.50894,44.9478,44.9577,0.268545,0.268486,0.268545
16,1311.1787,101.6216,1412.8003,0.151564,0.101547,0.151564,0.936556,0.0725868,0.936556,99.8371,7.73777,107.5748,3.31214,0.17199,3.48413,30.1428,44.9897,0.151564,0.101547,0.151564
18,101.6216,1311.1787,1412.8003,0.102749,0.153358,0.153358,0.0725868,0.936556,0.936556,7.82933,101.0185,108.8478,0.174025,3.35133,3.52535,44.9897,30.1428,0.102749,0.153358,0.153358
20,101.6216,1311.1787,1412.8003,0.100746,0.150368,0.150368,0.0725868,0.936556,0.936556,7.6767,99.0491,106.7258,0.170632,3.28599,3.45663,44.9897,30.1428,0.100746,0.150368,0.150368
22,31.4216,577.5389,608.9605,0.0791965,0.0825319,0.0825319,0.022444,0.412528,0.412528,1.86635,34.3041,36.1704,0.0414747,0.794423,0.835898,44.9997,43.1811,0.0791965,0.0825319,0.0825319
24,107.4000,820.7494,928.1494,0.0458377,0.0513653,0.0513653,0.0767143,0.58625,0.58625,3.69123,28.2083,31.8996,0.0820496,0.702634,0.784683,44.9878,40.1466,0.0458377,0.0513653,0.0513653
26,1311.1787,93.2216,1404.4003,0.0309407,0.020729,0.0309407,0.936556,0.0665868,0.936556,20.3810,1.44904,21.8300,0.676147,0.0322065,0.708353,30.1428,44.9920,0.0309407,0.020729,0.0309407
28,328.8905,287.3809,616.2714,0.268394,0.267705,0.268394,0.234922,0.205272,0.234922,65.6932,57.4020,123.0953,1.47121,1.28222,2.75343,44.6526,44.7677,0.268394,0.267705,0.268394
30,31.4216,577.5389,608.9605,0.0369522,0.0385085,0.0385085,0.022444,0.412528,0.412528,0.870817,16.0059,16.8767,0.0193516,0.370669,0.390021,44.9997,43.1811,0.0369522,0.0385085,0.0385085
32,31.4216,577.5389,608.9605,0.0649804,0.0677171,0.0677171,0.022444,0.412528,0.412528,1.53133,28.1464,29.6777,0.0340298,0.651821,0.685851,44.9997,43.1811,0.0649804,0.0677171,0.0677171
34,31.4216,577.5389,608.9605,0.0476603,0.0496675,0.0496675,0.022444,0.412528,0.412528,1.12316,20.6441,21.7673,0.0249594,0.478082,0.503042,44.9997,43.1811,0.0476603,0.0496675,0.0496675
36,577.5389,31.4216,608.9605,0.0612476,0.0587724,0.0612476,0.412528,0.022444,0.412528,25.4573,1.38503,26.8424,0.589548,0.0307787,0.620327,43.1811,44.9997,0.0612476,0.0587724,0.0612476
38,31.4216,577.5389,608.9605,0.0512657,0.0534247,0.0534247,0.022444,0.412528,0.412528,1.20813,22.2058,23.4139,0.0268475,0.514248,0.541095,44.9997,43.1811,0.0512657,0.0534247,0.0534247
40,31.4216,577.5389,608.9605,0.053771,0.0560356,0.0560356,0.022444,0.412528,0.412528,1.26717,23.2910,24.5582,0.0281595,0.539379,0.567539,44.9997,43.1811,0.053771,0.0560356,0.0560356
42,31.4216,577.5389,608.9605,0.048559,0.0506041,0.0506041,0.022444,0.412528,0.412528,1.14434,21.0334,22.1777,0.02543,0.487097,0.512527,44.9997,43.1811,0.048559,0.0506041,0.0506041
44,31.4216,577.5389,608.9605,0.049563,0.0516504,0.0516504,0.022444,0.412528,0.412528,1.168,21.4683,22.6363,0.0259558,0.497168,0.523124,44.9997,43.1811,0.049563,0.0516504,0.0516504
46,0.0000,,0.0000,0.265092,,0.265092,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,45.0000,,0.265092,,0.265092
47,27.9478,0.0000,27.9478,0.107207,0.107207,0.107207,0.0199627,0.0000,0.0199627,2.24714,0.0000,2.24714,0.0499367,0.0000,0.0499367,44.9998,45.0000,0.107207,0.107207,0.107207
49,31.4216,577.5389,608.9605,0.0526657,0.0548837,0.0548837,0.022444,0.412528,0.412528,1.24112,22.8122,24.0533,0.0275806,0.528291,0.555872,44.9997,43.1811,0.0526657,0.0548837,0.0548837
51,577.5389,31.4216,608.9605,0.111853,0.107333,0.111853,0.412528,0.022444,0.412528,46.4913,2.52941,49.0207,1.07666,0.0562094,1.13287,43.1811,44.9997,0.111853,0.107333,0.111853
53,31.4216,577.5389,608.9605,0.109137,0.113733,0.113733,0.022444,0.412528,0.412528,2.57192,47.2727,49.8446,0.0571541,1.09475,1.15191,44.9997,43.1811,0.109137,0.113733,0.113733
55,31.4216,577.5389,608.9605,0.10643,0.110912,0.110912,0.022444,0.412528,0.412528,2.50813,46.1003,48.6084,0.0557367,1.0676,1.12334,44.9997,43.1811,0.10643,0.110912,0.110912
