O_ID,D_ID,OD_Number
10000000,10000000,147
10000000,10000001,85
10000000,10000002,3
10000000,10000003,5
10000000,10000006,14
10000000,10000007,3
10000000,10000008,1
10000000,10000010,9
10000000,10000011,9
10000000,10000012,12
10000000,10000013,3
10000000,10000014,7
10000000,10000015,1
10000000,10000016,31
10000000,10000018,33
10000000,10000019,38
10000000,10000020,1
10000000,10000021,11
10000000,10000023,6
10000000,10000024,9
10000000,10000025,16
10000000,10000026,3
10000000,10000027,4
10000000,10000028,4
10000000,10000029,7
10000000,10000030,4
10000000,10000032,1
10000000,10000033,11
10000000,10000034,2
10000000,10000035,72
10000000,10000036,3
10000000,10000037,1
10000000,10000038,1
10000000,10000041,1
10000000,10000044,4
10000000,10000045,1
10000000,10000046,4
10000000,10000048,2
10000000,10000050,17
10000000,10000052,1
10000000,10000053,7
10000000,10000054,9
10000000,10000055,16
10000000,10000057,3
10000000,10000058,13
10000000,10000059,13
10000000,10000060,22
10000000,10000061,7
10000000,10000062,6
10000000,10000063,19
10000000,10000064,22
10000000,10000065,56
10000000,10000066,8
10000000,10000067,19
10000000,10000068,4
10000000,10000069,1
10000000,10000070,2
10000000,10000072,5
10000000,10000073,1
10000000,10000074,7
10000000,10000076,1
10000000,10000077,15
10000000,10000078,2
10000000,10000079,17
10000000,10000080,1
10000000,10000084,5
10000000,10000085,4
10000000,10000086,1
10000000,10000087,1
10000000,10000088,1
10000000,10000089,1
10000000,10000090,2
10000000,10000093,1
10000000,10000097,2
10000000,10000098,1
10000000,10000099,4
10000000,10000100,2
10000000,10000102,5
10000000,10000104,7
10000000,10000105,1
10000000,10000106,1
10000000,10000107,11
10000000,10000108,1
10000000,10000109,4
10000000,10000110,4
10000000,10000111,1
10000000,10000112,1
10000000,10000117,3
10000000,10000118,3
10000000,10000119,4
10000000,10000121,2
10000000,10000122,2
10000000,10000124,8
10000000,10000125,1
10000000,10000127,1
10000000,10000129,1
10000000,10000130,4
10000000,10000131,1
10000000,10000133,5
10000000,10000135,1
10000000,10000137,8
10000000,10000138,4
10000000,10000139,7
10000000,10000140,3
10000000,10000141,1
10000000,10000142,2
10000000,10000143,27
10000000,10000145,6
10000000,10000146,1
10000000,10000147,30
10000000,10000148,5
10000000,10000149,16
10000000,10000151,3
10000000,10000152,3
10000000,10000153,13
10000000,10000156,7
10000001,10000000,19
10000001,10000001,71
10000001,10000007,1
10000001,10000010,1
10000001,10000011,2
10000001,10000016,7
10000001,10000017,1
10000001,10000018,15
10000001,10000019,7
10000001,10000024,1
10000001,10000026,1
10000001,10000031,1
10000001,10000033,4
10000001,10000035,13
10000001,10000044,5
10000001,10000045,1
10000001,10000049,4
10000001,10000050,5
10000001,10000053,3
10000001,10000055,2
10000001,10000056,2
10000001,10000059,3
10000001,10000060,1
10000001,10000064,3
10000001,10000065,2
10000001,10000066,3
10000001,10000067,4
10000001,10000069,1
10000001,10000077,4
10000001,10000079,2
10000001,10000081,1
10000001,10000086,1
10000001,10000087,1
10000001,10000092,1
10000001,10000095,1
10000001,10000099,2
10000001,10000104,1
10000001,10000107,1
