"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
1,510.6000,139.8000,650.4000,0.326921,0.293476,0.326921,0.364714,0.0998571,0.364714,108.9554,29.8315,138.7869,2.7821,0.6838,3.4659,39.1630,43.6260,0.326921,0.293476,0.326921,510.6000,139.8000,510.6000,139.8000,650.4000
3,2039.0038,3519.1287,5558.1326,3.59002,5.05043,5.05043,1.45643,2.51366,2.51366,3075.5050,5308.0321,8383.5371,122.0010,296.2186,418.2196,25.2088,17.9193,3.59002,5.05043,5.05043,2039.0038,3519.1287,2039.0038,3519.1287,5558.1326
5,3519.1287,2039.0038,5558.1326,0.60076,0.427041,0.60076,2.51366,1.45643,2.51366,631.4021,365.8381,997.2401,35.2359,14.5123,49.7481,17.9193,25.2088,0.60076,0.427041,0.60076,3519.1287,2039.0038,3519.1287,2039.0038,5558.1326
7,79.8549,335.2804,415.1353,0.22477,0.241115,0.241115,0.0570392,0.239486,0.239486,13.2487,55.6260,68.8747,0.29915,1.34735,1.6465,44.2877,41.2855,0.22477,0.241115,0.241115,79.8549,335.2804,79.8549,335.2804,415.1353
9,399.6000,,399.6000,0.0335409,,0.0335409,0.0999,,0.0999,14.0763,,14.0763,0.223382,,0.223382,63.0144,,0.0335409,,0.0335409,399.6000,,399.6000,,399.6000
10,335.2804,79.8549,415.1353,0.178723,0.166608,0.178723,0.239486,0.0570392,0.239486,41.2321,9.8204,51.0525,0.998707,0.221741,1.22045,41.2855,44.2877,0.178723,0.166608,0.178723,335.2804,79.8549,335.2804,79.8549,415.1353
12,0.0000,,0.0000,0.104507,,0.104507,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,45.0000,,0.104507,,0.104507,0.0000,,0.0000,,0.0000
13,92.4000,1766.2660,1858.6660,0.050635,0.0598032,0.0598032,0.0231,0.441566,0.441566,5.04116,96.3639,101.4051,0.0779779,1.76047,1.83845,64.6486,54.7376,0.050635,0.0598032,0.0598032,92.4000,1766.2660,92.4000,1766.2660,1858.6660
15,0.0000,,0.0000,0.10744,,0.10744,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,45.0000,,0.10744,,0.10744,0.0000,,0.0000,,0.0000
16,0.0000,,0.0000,0.105416,,0.105416,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,45.0000,,0.105416,,0.105416,0.0000,,0.0000,,0.0000
17,0.0000,,0.0000,0.106725,,0.106725,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,45.0000,,0.106725,,0.106725,0.0000,,0.0000,,0.0000
18,1924.1663,92.4000,2016.5663,0.0725801,0.0604208,0.0725801,0.481042,0.0231,0.481042,125.2671,6.01543,131.2825,2.3276,0.0930481,2.42065,53.8181,64.6486,0.0725801,0.0604208,0.0725801,1924.1663,92.4000,1924.1663,92.4000,2016.5663
20,0.0000,0.0000,0.0000,0.106139,0.106139,0.106139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.106139,0.106139,0.106139,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.106585,0.106585,0.106585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.106585,0.106585,0.106585,0.0000,0.0000,0.0000,0.0000,0.0000
24,333.7554,274.0976,607.8530,0.114181,0.112207,0.114181,0.238397,0.195784,0.238397,26.2338,21.5446,47.7785,0.635139,0.512594,1.14773,41.3041,42.0306,0.114181,0.112207,0.114181,333.7554,274.0976,333.7554,274.0976,607.8530
26,274.0976,333.7554,607.8530,0.112849,0.114834,0.114834,0.195784,0.238397,0.238397,21.6680,26.3840,48.0520,0.515528,0.638776,1.1543,42.0306,41.3041,0.112849,0.114834,0.114834,274.0976,333.7554,274.0976,333.7554,607.8530
28,0.0000,173.8856,173.8856,0.259481,0.270099,0.270099,0.0000,0.124204,0.124204,0.0000,33.8401,33.8401,0.0000,0.782773,0.782773,45.0000,43.2310,0.259481,0.270099,0.270099,0.0000,173.8856,0.0000,173.8856,173.8856
30,74.4000,111.6000,186.0000,0.107715,0.108698,0.108698,0.0531429,0.0797143,0.0797143,5.92298,8.88448,14.8075,0.133566,0.202178,0.335744,44.3448,43.9439,0.107715,0.108698,0.108698,74.4000,111.6000,74.4000,111.6000,186.0000
32,111.6000,74.4000,186.0000,0.107158,0.106189,0.107158,0.0797143,0.0531429,0.0797143,8.75859,5.83906,14.5977,0.199313,0.131674,0.330987,43.9439,44.3448,0.107158,0.106189,0.107158,111.6000,74.4000,111.6000,74.4000,186.0000
34,173.8856,0.0000,173.8856,0.143611,0.137965,0.143611,0.124204,0.0000,0.124204,17.9926,0.0000,17.9926,0.416198,0.0000,0.416198,43.2310,45.0000,0.143611,0.137965,0.143611,173.8856,0.0000,173.8856,0.0000,173.8856
36,1.2,3.6,4.8,0.132102,0.13214,0.13214,0.000857143,0.00257143,0.00257143,0.118879,0.356638,0.475517,0.00264204,0.00792837,0.0105704,44.9953,44.9824,0.132102,0.13214,0.13214,1.2,3.6,1.2,3.6,4.8
38,3.6,1.2,4.8,0.165395,0.165348,0.165395,0.00257143,0.000857143,0.00257143,0.446393,0.148798,0.59519,0.00992371,0.00330696,0.0132307,44.9825,44.9953,0.165395,0.165348,0.165395,3.6,1.2,3.6,1.2,4.8
40,0.0000,0.0000,0.0000,0.125923,0.125923,0.125923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.125923,0.125923,0.125923,0.0000,0.0000,0.0000,0.0000,0.0000
42,0.0000,0.0000,0.0000,0.136783,0.136783,0.136783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.136783,0.136783,0.136783,0.0000,0.0000,0.0000,0.0000,0.0000
44,0.0000,,0.0000,0.0333554,,0.0333554,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,65.0000,,0.0333554,,0.0333554,0.0000,,0.0000,,0.0000
45,0.0000,,0.0000,0.173735,,0.173735,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,65.0000,,0.173735,,0.173735,0.0000,,0.0000,,0.0000
46,213.3460,1222.3475,1435.6935,0.313107,0.345719,0.345719,0.0533365,0.305587,0.305587,71.3088,408.5574,479.8662,1.11334,7.04315,8.15649,64.0496,58.0077,0.313107,0.345719,0.345719,213.3460,1222.3475,213.3460,1222.3475,1435.6935
48,865.4773,,865.4773,0.0532462,,0.0532462,0.131133,,0.131133,66.2324,,66.2324,0.768056,,0.768056,86.2338,,0.0532462,,0.0532462,865.4773,,865.4773,,865.4773
49,879.8974,192.9460,1072.8434,0.107946,0.101148,0.107946,0.219974,0.0482365,0.219974,95.1644,20.8679,116.0323,1.58302,0.325267,1.90829,60.1157,64.1562,0.107946,0.101148,0.107946,879.8974,192.9460,879.8974,192.9460,1072.8434
51,4.2,625.1830,629.3830,0.109102,0.129774,0.129774,0.003,0.446559,0.446559,0.34351,51.1325,51.4760,0.00763713,1.35221,1.35984,44.9789,37.8141,0.109102,0.129774,0.129774,4.2,625.1830,4.2,625.1830,629.3830
53,625.1830,4.2,629.3830,0.386297,0.324763,0.386297,0.446559,0.003,0.446559,152.2058,1.02252,153.2283,4.0251,0.0227334,4.04784,37.8141,44.9789,0.386297,0.324763,0.386297,625.1830,4.2,625.1830,4.2,629.3830
55,0.0000,0.0000,0.0000,0.00712533,0.00712533,0.00712533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.00712533,0.00712533,0.00712533,0.0000,0.0000,0.0000,0.0000,0.0000
57,15.0000,0.0000,15.0000,0.0737431,0.073584,0.0737431,0.0107143,0.0000,0.0107143,0.82782,0.0000,0.82782,0.0184358,0.0000,0.0184358,44.9029,45.0000,0.0737431,0.073584,0.0737431,15.0000,0.0000,15.0000,0.0000,15.0000
59,0.0000,15.0000,15.0000,0.094816,0.095021,0.095021,0.0000,0.0107143,0.0107143,0.0000,1.06668,1.06668,0.0000,0.0237553,0.0237553,45.0000,44.9029,0.094816,0.095021,0.095021,0.0000,15.0000,0.0000,15.0000,15.0000
61,0.0000,0.0000,0.0000,0.044416,0.044416,0.044416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.044416,0.044416,0.044416,0.0000,0.0000,0.0000,0.0000,0.0000
63,0.0000,,0.0000,0.018538,,0.018538,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,90.0000,,0.018538,,0.018538,0.0000,,0.0000,,0.0000
64,0.0000,,0.0000,0.026478,,0.026478,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,90.0000,,0.026478,,0.026478,0.0000,,0.0000,,0.0000
65,138.0000,343.3364,481.3364,0.113456,0.120231,0.120231,0.0985714,0.24524,0.24524,11.3896,28.3366,39.7261,0.260949,0.687995,0.948944,43.6466,41.1872,0.113456,0.120231,0.120231,138.0000,343.3364,138.0000,343.3364,481.3364
67,343.3364,138.0000,481.3364,0.119663,0.11292,0.119663,0.24524,0.0985714,0.24524,28.2027,11.3357,39.5384,0.684744,0.259716,0.94446,41.1872,43.6466,0.119663,0.11292,0.119663,343.3364,138.0000,343.3364,138.0000,481.3364
69,10948.6989,,10948.6989,0.343101,,0.343101,1.65889,,1.65889,2938.1271,,2938.1271,62.6085,,62.6085,46.9286,,0.343101,,0.343101,10948.6989,,10948.6989,,10948.6989
70,1.2,24.0000,25.2000,0.109735,0.110141,0.110141,0.000857143,0.0171429,0.0171429,0.0987516,1.97503,2.07378,0.00219471,0.0440564,0.0462511,44.9953,44.8296,0.109735,0.110141,0.110141,1.2,24.0000,1.2,24.0000,25.2000
72,24.0000,1.2,25.2000,0.11056,0.110153,0.11056,0.0171429,0.000857143,0.0171429,1.98254,0.0991272,2.08167,0.044224,0.00220306,0.046427,44.8296,44.9953,0.11056,0.110153,0.11056,24.0000,1.2,24.0000,1.2,25.2000
74,2450.4000,,2450.4000,1.03884,,1.03884,0.371273,,0.371273,3313.7961,,3313.7961,42.4264,,42.4264,78.1070,,1.03884,,1.03884,2450.4000,,2450.4000,,2450.4000
75,134.4000,,134.4000,0.114936,,0.114936,0.096,,0.096,11.2477,,11.2477,0.257457,,0.257457,43.6876,,0.114936,,0.114936,134.4000,,134.4000,,134.4000
76,1230.5905,,1230.5905,0.171449,,0.171449,0.186453,,0.186453,296.7064,,296.7064,3.51639,,3.51639,84.3781,,0.171449,,0.171449,1230.5905,,1230.5905,,1230.5905
77,29.4000,,29.4000,0.112019,,0.112019,0.021,,0.021,2.4581,,2.4581,0.0548894,,0.0548894,44.7829,,0.112019,,0.112019,29.4000,,29.4000,,29.4000
78,3134.3940,,3134.3940,0.240645,,0.240645,0.474908,,0.474908,939.2462,,939.2462,12.5713,,12.5713,74.7137,,0.240645,,0.240645,3134.3940,,3134.3940,,3134.3940
79,0.0000,,0.0000,0.552829,,0.552829,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,65.0000,,0.552829,,0.552829,0.0000,,0.0000,,0.0000
80,2540.5602,,2540.5602,0.535466,,0.535466,0.384933,,0.384933,1760.6133,,1760.6133,22.6730,,22.6730,77.6523,,0.535466,,0.535466,2540.5602,,2540.5602,,2540.5602
81,95.6256,337.2000,432.8256,0.107583,0.115033,0.115033,0.068304,0.240857,0.240857,7.56475,26.6752,34.2400,0.171462,0.646483,0.817945,44.1191,41.2621,0.107583,0.115033,0.115033,95.6256,337.2000,95.6256,337.2000,432.8256
83,141.5330,33.2256,174.7586,0.109169,0.106382,0.109169,0.101095,0.0237326,0.101095,11.2294,2.63615,13.8655,0.257518,0.0589102,0.316428,43.6062,44.7487,0.109169,0.106382,0.109169,141.5330,33.2256,141.5330,33.2256,174.7586
85,0.0000,0.0000,0.0000,0.542445,0.542445,0.542445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.542445,0.542445,0.542445,0.0000,0.0000,0.0000,0.0000,0.0000
87,783.5256,,783.5256,0.154908,,0.154908,0.195881,,0.195881,122.8074,,122.8074,2.0229,,2.0229,60.7085,,0.154908,,0.154908,783.5256,,783.5256,,783.5256
88,0.0000,0.0000,0.0000,0.106111,0.106111,0.106111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.106111,0.106111,0.106111,0.0000,0.0000,0.0000,0.0000,0.0000
90,0.0000,0.0000,0.0000,0.0939533,0.0939533,0.0939533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.0939533,0.0939533,0.0939533,0.0000,0.0000,0.0000,0.0000,0.0000
92,730.4006,,730.4006,0.0916317,,0.0916317,0.110667,,0.110667,96.9380,,96.9380,1.11546,,1.11546,86.9038,,0.0916317,,0.0916317,730.4006,,730.4006,,730.4006
93,0.0000,0.0000,0.0000,0.343409,0.343409,0.343409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.343409,0.343409,0.343409,0.0000,0.0000,0.0000,0.0000,0.0000
95,0.0000,0.0000,0.0000,0.458324,0.458324,0.458324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.458324,0.458324,0.458324,0.0000,0.0000,0.0000,0.0000,0.0000
97,84.6000,28.8000,113.4000,0.506174,0.499951,0.506174,0.0604286,0.0205714,0.0604286,31.5726,10.7481,42.3207,0.713706,0.239977,0.953682,44.2375,44.7881,0.506174,0.499951,0.506174,84.6000,28.8000,84.6000,28.8000,113.4000
99,0.0000,16.2905,16.2905,0.350508,0.351345,0.351345,0.0000,0.0116361,0.0116361,0.0000,4.28246,4.28246,0.0000,0.0953929,0.0953929,45.0000,44.8928,0.350508,0.351345,0.351345,0.0000,16.2905,0.0000,16.2905,16.2905
101,10.2000,64.7095,74.9095,0.141281,0.142852,0.142852,0.00728571,0.0462211,0.0462211,1.07933,6.84737,7.9267,0.0240178,0.154065,0.178083,44.9388,44.4446,0.141281,0.142852,0.142852,10.2000,64.7095,10.2000,64.7095,74.9095
103,10.2000,64.7095,74.9095,0.290568,0.293799,0.293799,0.00728571,0.0462211,0.0462211,2.21983,14.0827,16.3026,0.0493966,0.31686,0.366257,44.9388,44.4446,0.290568,0.293799,0.293799,10.2000,64.7095,10.2000,64.7095,74.9095
105,10.2000,64.7095,74.9095,0.246483,0.249224,0.249224,0.00728571,0.0462211,0.0462211,1.88303,11.9461,13.8291,0.0419021,0.268786,0.310688,44.9388,44.4446,0.246483,0.249224,0.249224,10.2000,64.7095,10.2000,64.7095,74.9095
107,10.2000,64.7095,74.9095,0.174966,0.176911,0.176911,0.00728571,0.0462211,0.0462211,1.33667,8.47992,9.81659,0.0297442,0.190798,0.220542,44.9388,44.4446,0.174966,0.176911,0.176911,10.2000,64.7095,10.2000,64.7095,74.9095
109,52.8000,7.2,60.0000,0.186151,0.184512,0.186151,0.0377143,0.00514286,0.0377143,7.30013,0.995472,8.2956,0.163813,0.0221414,0.185955,44.5637,44.9597,0.186151,0.184512,0.186151,52.8000,7.2,52.8000,7.2,60.0000
111,7.2,52.8000,60.0000,0.178288,0.179872,0.179872,0.00514286,0.0377143,0.0377143,0.961891,7.05387,8.01576,0.0213945,0.158287,0.179682,44.9597,44.5637,0.178288,0.179872,0.179872,7.2,52.8000,7.2,52.8000,60.0000
113,537.5433,,537.5433,0.122712,,0.122712,0.081446,,0.081446,96.5632,,96.5632,1.09938,,1.09938,87.8339,,0.122712,,0.122712,537.5433,,537.5433,,537.5433
114,406.9796,3047.3835,3454.3630,0.0932695,0.122956,0.122956,0.101745,0.761846,0.761846,39.8388,298.3053,338.1441,0.632646,6.24492,6.87757,62.9717,47.7677,0.0932695,0.122956,0.122956,406.9796,3047.3835,406.9796,3047.3835,3454.3630
116,3047.3835,406.9796,3454.3630,0.0162562,0.0123313,0.0162562,0.761846,0.101745,0.761846,39.4392,5.26713,44.7064,0.825647,0.0836428,0.90929,47.7677,62.9717,0.0162562,0.0123313,0.0162562,3047.3835,406.9796,3047.3835,406.9796,3454.3630
118,18.0000,1274.5499,1292.5499,0.060589,0.0682162,0.0682162,0.0045,0.318637,0.318637,1.18058,83.5952,84.7758,0.0181767,1.44908,1.46726,64.9504,57.6884,0.060589,0.0682162,0.0682162,18.0000,1274.5499,18.0000,1274.5499,1292.5499
119,772.2000,435.0000,1207.2000,0.478057,0.462601,0.478057,0.19305,0.10875,0.19305,373.9425,210.6514,584.5938,6.1526,3.35386,9.50646,60.7780,62.8087,0.478057,0.462601,0.478057,772.2000,435.0000,772.2000,435.0000,1207.2000
121,7.2,,7.2,0.0440114,,0.0440114,0.00514286,,0.00514286,0.237449,,0.237449,0.00528137,,0.00528137,44.9597,,0.0440114,,0.0440114,7.2,,7.2,,7.2
122,292.0350,,292.0350,0.157574,,0.157574,0.0442477,,0.0442477,68.2167,,68.2167,0.766952,,0.766952,88.9452,,0.157574,,0.157574,292.0350,,292.0350,,292.0350
123,16.2000,132.2571,148.4571,0.611345,0.62787,0.62787,0.0115714,0.0944694,0.0944694,7.41027,60.4976,67.9078,0.165063,1.384,1.54907,44.8935,43.7120,0.611345,0.62787,0.62787,16.2000,132.2571,16.2000,132.2571,148.4571
125,0.0000,16.2905,16.2905,0.0407547,0.040852,0.040852,0.0000,0.0116361,0.0116361,0.0000,0.497935,0.497935,0.0000,0.0110916,0.0110916,45.0000,44.8928,0.0407547,0.040852,0.040852,0.0000,16.2905,0.0000,16.2905,16.2905
127,0.0000,16.2905,16.2905,0.082832,0.0830298,0.0830298,0.0000,0.0116361,0.0116361,0.0000,1.01203,1.01203,0.0000,0.0225432,0.0225432,45.0000,44.8928,0.082832,0.0830298,0.0830298,0.0000,16.2905,0.0000,16.2905,16.2905
129,610.8000,6571.2920,7182.0920,0.156387,0.297747,0.297747,0.0925455,0.663767,0.663767,139.2777,1498.4189,1637.6966,1.59202,32.6097,34.2017,87.4850,45.9501,0.156387,0.297747,0.297747,610.8000,6571.2920,610.8000,6571.2920,7182.0920
131,6645.6920,958.0350,7603.7270,0.946316,0.972323,0.972323,1.00692,0.0967712,1.00692,6271.5464,904.0986,7175.6450,104.8154,15.5253,120.3407,59.8342,58.2338,0.946316,0.972323,0.972323,6645.6920,958.0350,6645.6920,958.0350,7603.7270
133,3398.0093,,3398.0093,0.202526,,0.202526,0.849502,,0.849502,528.3293,,528.3293,11.4698,,11.4698,46.0627,,0.202526,,0.202526,3398.0093,,3398.0093,,3398.0093
134,783.5256,,783.5256,0.144326,,0.144326,0.195881,,0.195881,114.4182,,114.4182,1.88472,,1.88472,60.7085,,0.144326,,0.144326,783.5256,,783.5256,,783.5256
135,1269.8046,,1269.8046,0.694338,,0.694338,0.192395,,0.192395,1236.9344,,1236.9344,14.6946,,14.6946,84.1764,,0.694338,,0.694338,1269.8046,,1269.8046,,1269.8046
136,11.4000,23.4000,34.8000,0.0220565,0.0220698,0.0220698,0.00285,0.00585,0.00585,0.272278,0.558886,0.831163,0.00419073,0.00860723,0.012798,64.9713,64.9321,0.0220565,0.0220698,0.0220698,11.4000,23.4000,11.4000,23.4000,34.8000
138,23.4000,11.4000,34.8000,0.0264692,0.0264532,0.0264692,0.00585,0.00285,0.00585,0.670293,0.326553,0.996846,0.010323,0.00502611,0.0153491,64.9321,64.9713,0.0264692,0.0264532,0.0264692,23.4000,11.4000,23.4000,11.4000,34.8000
140,11.4000,23.4000,34.8000,0.051825,0.0518563,0.0518563,0.00285,0.00585,0.00585,0.639757,1.31318,1.95294,0.00984675,0.020224,0.0300707,64.9713,64.9321,0.051825,0.0518563,0.0518563,11.4000,23.4000,11.4000,23.4000,34.8000
142,1035.8381,,1035.8381,0.0111796,,0.0111796,0.25896,,0.25896,11.4170,,11.4170,0.193004,,0.193004,59.1543,,0.0111796,,0.0111796,1035.8381,,1035.8381,,1035.8381
143,0.0000,0.0000,0.0000,0.0207655,0.0207655,0.0207655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,65.0000,0.0207655,0.0207655,0.0207655,0.0000,0.0000,0.0000,0.0000,0.0000
145,0.0000,19.2000,19.2000,0.164051,0.164186,0.164186,0.0000,0.0048,0.0048,0.0000,3.41226,3.41226,0.0000,0.0525397,0.0525397,65.0000,64.9464,0.164051,0.164186,0.164186,0.0000,19.2000,0.0000,19.2000,19.2000
